43	34	327	21	4
36	3	288	4	3
2	27	73	3	3
7	38	325	6	4
19	31	218	20	2
14	32	245	9	6
12	28	234	13	7
12	51	138	7	7
41	18	29	16	9
19	60	177	5	7
57	24	64	2	3
8	38	7	5	3
50	45	334	12	5
47	50	119	13	6
13	11	350	4	4
15	3	97	3	3
42	17	146	10	6
10	56	308	3	2
5	23	165	2	4
39	29	318	18	4
26	35	244	4	2
55	60	260	6	6
27	17	296	15	7
54	61	315	4	2
43	28	188	22	18
50	57	87	5	7
7	12	245	3	5
55	18	98	10	10
42	21	118	4	3
26	25	81	8	6
15	38	318	2	3
22	17	224	10	10
47	25	46	12	7
53	30	297	12	3
21	35	237	5	7
19	8	65	4	6
46	3	225	2	4
40	26	137	20	18
55	26	34	8	8
20	46	128	4	6
6	15	0	3	2
41	6	337	5	7
19	6	272	6	4
33	7	358	4	6
28	33	298	3	2
14	49	35	7	5
21	49	346	15	5
58	13	164	5	7
18	25	24	15	13
40	7	207	6	7
33	4	254	4	2
47	24	278	17	19
42	51	293	15	9
50	28	133	9	4
57	33	186	5	3
50	27	170	7	4
23	60	350	3	2
9	22	50	6	5
50	53	191	7	8
29	32	172	5	7
51	29	290	4	4
47	61	123	2	2
56	11	293	4	4
46	50	54	5	5
33	28	56	3	4
37	52	349	11	9
37	11	220	13	3
59	60	235	5	3
5	29	326	6	2
19	7	268	6	8
8	55	190	6	4
32	47	195	17	7
48	13	124	8	5
10	24	225	11	3
13	51	262	4	6
5	4	18	5	3
47	58	348	5	2
59	5	269	2	2
46	23	320	2	3
53	54	350	2	4
15	14	7	4	3
43	43	261	13	4
3	22	88	2	2
15	39	352	3	3
5	50	236	3	4
55	56	255	5	6
57	29	223	6	8
7	20	242	6	5
50	16	332	13	12
56	50	254	4	6
23	61	196	4	2
16	48	219	2	2
6	43	58	7	2
37	50	254	15	11
13	51	11	10	10
50	61	24	4	5
6	19	348	3	2
26	50	66	4	2
27	52	142	3	5
20	46	317	6	5
47	35	119	14	2
60	5	188	4	6
27	14	248	9	5
33	31	129	15	16
35	10	219	11	9
59	32	285	2	2
5	25	163	3	5
60	43	316	5	5
50	33	221	8	10
57	51	260	6	8
41	28	21	20	19
27	45	159	13	6
44	25	330	16	7
8	14	52	6	3
6	59	291	3	4
26	46	234	4	5
29	2	34	4	5
7	48	319	2	3
23	7	169	2	4
23	28	253	10	8
2	54	353	3	2
35	5	170	4	4
11	12	111	12	10
22	47	249	11	13
25	54	255	3	3
32	49	279	4	5
59	46	267	2	2
16	2	39	2	3
12	34	135	10	12
7	45	322	2	4
45	25	292	14	13
59	6	51	2	3
35	31	317	3	5
12	7	295	9	9
15	9	208	7	9
52	23	244	6	7
23	32	299	13	11
46	26	183	3	4
41	21	2	9	8
42	61	178	2	2
43	12	353	7	4
5	44	50	2	3
46	22	234	4	6
57	34	156	2	2
30	15	151	16	18
21	22	46	6	2
47	52	320	9	9
5	27	142	5	7
37	30	329	16	10
18	9	198	3	5
13	59	100	2	4
7	17	15	9	4
28	31	168	18	15
15	32	130	2	2
39	53	347	8	9
36	20	143	17	14
51	26	293	9	8
27	33	128	11	5
55	58	192	8	4
48	52	286	6	5
57	19	183	5	6
56	6	94	2	2
59	25	325	7	7
41	61	324	2	4
36	51	2	12	12
30	9	152	7	2
31	10	175	2	2
57	9	286	8	2
22	50	198	14	13
42	10	252	3	5
12	15	40	4	2
56	16	123	2	2
57	43	130	8	5
52	12	223	3	2
3	5	128	4	3
42	60	81	2	4
12	17	166	7	8
55	10	130	5	6
58	23	95	5	4
52	35	90	13	7
17	61	26	3	2
43	35	120	8	7
30	26	10	15	14
43	15	164	17	17
3	31	219	5	2
47	7	149	8	10
60	48	348	5	5
49	52	110	6	5
34	18	27	7	4
9	21	340	4	5
57	52	229	5	2
12	18	284	3	5
56	17	337	4	2
37	47	349	10	6
60	61	8	2	3
41	10	137	11	5
27	7	350	3	4
48	10	177	2	3
51	13	216	5	7
2	50	7	4	5
26	5	356	7	5
16	43	255	15	5
50	11	50	2	3
30	9	315	3	2
23	39	339	11	11
40	12	184	2	4
24	14	160	6	6
42	9	284	6	7
54	57	168	9	5
52	42	189	13	11
25	37	57	9	3
52	59	48	5	3
31	27	181	2	3
39	53	260	2	2
25	29	73	7	7
2	10	321	2	3
6	45	306	8	7
12	13	118	10	12
16	36	159	17	11
10	25	228	5	7
17	49	316	9	3
20	45	51	10	4
56	16	160	10	7
57	39	174	4	4
29	35	233	16	5
37	34	23	19	5
51	8	159	6	7
6	49	63	3	2
34	11	309	2	3
20	52	172	5	4
26	8	121	2	4
5	21	259	4	2
52	2	135	4	4
29	12	211	10	4
11	16	203	3	4
56	61	33	4	2
37	27	341	24	16
16	21	77	14	11
49	12	78	9	3
31	16	175	18	9
49	41	226	10	5
3	49	337	5	7
50	19	277	12	9
55	50	302	3	4
4	51	34	2	3
44	45	138	15	5
30	29	339	10	4
8	27	277	8	4
25	25	116	13	8
15	21	22	6	5
8	25	203	6	3
6	61	346	3	4
61	29	1	5	3
56	35	317	6	7
52	9	206	11	13
15	58	323	5	7
3	43	266	3	5
12	8	306	5	6
25	11	229	10	6
23	58	316	2	2
11	36	228	2	3
54	39	188	9	10
58	30	127	8	8
19	15	354	11	10
44	19	250	8	4
32	19	21	10	7
56	51	11	6	6
31	32	340	12	9
44	56	287	5	6
2	29	292	3	5
33	18	96	2	2
8	35	6	10	5
58	18	229	8	5
24	18	280	12	8
23	28	99	21	7
27	14	267	5	3
9	56	60	6	7
58	11	57	2	2
56	17	189	5	7
37	14	202	15	6
38	45	75	13	7
8	24	174	9	8
40	53	345	6	2
56	25	250	5	7
20	19	247	2	4
33	60	238	6	7
12	15	13	14	4
46	6	348	6	7
37	46	209	20	17
43	42	249	21	10
4	52	182	3	3
19	48	313	16	12
40	35	332	4	3
42	48	290	6	3
55	34	216	10	12
25	2	121	4	3
5	56	209	3	4
56	14	155	9	4
46	35	39	4	2
48	8	285	5	4
55	20	32	8	3
54	22	10	3	5
24	54	295	12	6
42	32	238	15	13
50	27	145	12	11
6	3	318	3	5
6	48	346	5	7
47	4	325	2	4
60	10	159	6	4
30	56	89	7	4
12	21	195	8	8
6	28	207	3	2
11	18	298	11	2
39	21	204	18	12
23	18	313	11	11
5	52	38	2	2
61	60	206	5	7
11	52	124	12	8
13	35	119	6	3
17	16	231	6	2
45	54	220	8	3
54	40	189	4	5
56	10	114	9	3
20	14	55	7	4
21	38	78	16	10
21	55	114	7	8
5	42	280	7	7
41	52	288	6	4
12	54	40	10	4
55	28	231	2	2
5	23	113	6	3
43	27	177	4	6
20	16	65	12	12
15	59	240	4	2
45	12	101	12	7
19	27	226	4	6
51	9	188	8	3
9	45	117	9	4
43	38	89	6	8
49	49	336	3	4
22	46	3	13	13
61	7	57	2	4
3	8	30	2	4
9	17	132	2	2
17	6	68	5	6
51	50	214	6	4
17	25	280	9	3
42	9	201	4	5
10	60	155	2	3
60	6	171	4	3
9	26	285	8	2
36	34	178	12	2
26	56	276	3	4
5	59	151	2	2
51	13	213	12	3
6	59	230	5	4
18	43	155	13	7
32	50	272	2	4
25	5	46	4	4
61	44	177	2	4
37	35	314	11	3
54	33	259	7	7
38	61	43	4	5
20	3	27	3	2
17	54	291	5	2
35	40	24	15	6
